Q11843,Schneeweißchen und Rosenrot
Q11850,Der Froschkönig oder der eiserne Heinrich
Q11853,Frau Holle
Q11870,Däumelinchen
Q23673,Once Upon a Time – Es war einmal…
Q33083,Marie-Jeanne Lhéritier de Villandon
Q44647,Otfried Preußler
Q128917,Goldlöckchen und die drei Bären
Q201847,Der Bärenhäuter
Q214565,Beatrix Potter
Q232362,Zweibrüdermärchen
Q244019,Zwerg Nase
Q258749,Ole Lukøje
Q260138,Igelchen im Nebel
Q291500,Emma Andijewska
Q328023,Der alte Sultan
Q454606,Klein Zaches, genannt Zinnober
Q454630,Wladimir Nikolajewitsch Woinowitsch
Q467741,Weniamin Alexandrowitsch Kawerin
Q472668,Hans mein Igel
Q579026,Der goldene Hahn
Q743288,Der Zauberrabe Rumburak
Q833652,Das Märchen vom Schlauraffenland
Q1168165,Das Geheimnis des verlassenen Schlosses
Q1170969,Das alte Mütterchen
Q1193630,Der Fuchs und die Frau Gevatterin
Q1194453,Der Hund und der Sperling
Q1198683,Der gelbe Nebel
Q1199626,Der selbstsüchtige Riese
Q1218152,Die drei kleinen Schweinchen
Q1322697,Kränzchen-Bibliothek
Q2604653,Die Mumins. Eine drollige Gesellschaft
Q2985121,Die Feen (Perrault)
Q4263015,Die listige Füchsin
Q4449940,Geheimnis der fernen Inseln
Q26742488,Harzmärchenbuch
Q11824,Dornröschen
Q11872,Der standhafte Zinnsoldat
Q55767,Astrid Lindgren
Q102513,Harriet Beecher Stowe
Q119975,Des Herrn und des Teufels Getier
Q128460,Charles Perrault
Q161138,Blaubart
Q228546,Alphonse Daudet
Q318116,Der Geist im Glas
Q323018,Das Lämmchen und Fischchen
Q404348,Die Ferien des Bonifazius
Q430980,Walerij Schewtschuk
Q641414,Marienkind
Q719143,Uncle Remus
Q880479,Das blaue Licht
Q1144655,Ronja Räubertochter
Q1358834,Alexander Melentjewitsch Wolkow
Q2436441,Riquet mit dem Schopf
Q3155970,Itof et la ville souterraine
Q4095277,Der Seemann und der Papagei
Q4101844,Die Schneesturmhexe
Q4237080,Das Katzenhaus
Q4279279,Knirps und Karlsson
Q4308014,Mursilka und der Riese
Q4421382,Das Märchen vom goldenen Hahn
Q8065468,Die Abenteuer des Pinocchio
Q11798725,Legenden über die Liebe
Q12028224,Karel Handzel
Q19219193,Die Sage vom stolzen Aggäus
Q19227427,Schneewittchen
Q27134855,Das Dornröschen
Q28007341,Und Pippa tanzt!
Q11846,Die Sterntaler
Q11848,Der Wolf und die sieben jungen Geißlein
Q11861,Die Prinzessin auf der Erbse
Q49496,Jean de La Fontaine
Q110671,Die Alte im Wald
Q142278,Der Hase und der Igel
Q163027,Grimms Märchen
Q261148,Der Feuergott der Marranen
Q302350,Klagen des Bauern
Q333873,Walentin Petrowitsch Katajew
Q454484,Fitchers Vogel
Q465681,Sophie de Ségur
Q595300,Die Schöne und das Biest: Belles zauberhafte Welt
Q652607,Die goldene Gans
Q771074,Anna Sakse
Q833046,Herr Korbes
Q874099,Die drei Federn
Q1168913,Das Hausgesinde
Q1169919,Das Märchen vom Bären Ondrej
Q1195843,Der Mond
Q1196800,Der Schweinehirt
Q1200454,Des Kaisers Nachtigall
Q1215813,Die Rose
Q1247776,Das Märchen vom Fischer und dem Fischlein
Q1777384,Knoist un sine dre Sühne
Q2386048,Komet im Mumintal
Q2439320,Tolldreiste Geschichten
Q2622393,Die Nachtigall und die Rose
Q2647258,Alissa w Saserkalje
Q4235888,Der Kater als Angler
Q5277530,Dimitrie Bolintineanu
Q6678388,Fantik - Der kleine Elefant
Q15545286,Der süße Brei
Q19227423,Schneewittchen
Q20088312,Dornröschen
Q27973414,Sagen und Geschichten um die Bergstadt St. Andreasberg
Q211785,Michail Jewgrafowitsch Saltykow-Schtschedrin
Q294999,Gabrielle Roy
Q298685,Theodor Seuss Geisel
Q316024,Der Gevatter Tod
Q319844,Die zwei Brüder
Q340515,Von Tuor und dem Fall von Gondolin
Q354148,Robert McCloskey
Q534739,Baum und Blatt
Q560960,Von dem Machandelboom
Q832867,Die Rübe
Q834506,Spindel, Weberschiffchen und Nadel
Q871598,Der wunderliche Spielmann
Q1123707,Contes de la rue Broca
Q1167763,Das Eselein
Q1170469,Das Sternenkind
Q1193628,Der Fuchs und das Pferd
Q1198693,Der gelernte Jäger
Q1211733,Die Bremer Stadtmusikanten
Q1215871,Die Rückkehr der Märchenbraut
Q1238538,Boris Wladimirowitsch Sachoder
Q1517484,Geschichte des Schiffbrüchigen
Q2682217,Es lebte einmal ein Hund
Q4113652,Die verliebte Wolke
Q4127776,Wer darf fliegen?
Q16514692,Die bunten Eisblumen
Q19144579,Bruder Lustig
Q26453985,Deutsche Hausmärchen
Q27134782,Die Schöne im schlafenden Wald
Q5673,Hans Christian Andersen
Q11831,Schneewittchen
Q11880,Die Schneekönigin
Q138640,Läuschen und Flöhchen
Q322727,Der Teufel und seine Großmutter
Q326838,Das tapfere Schneiderlein
Q368812,Konstantin Georgijewitsch Paustowski
Q490820,Nimmerklug im Knirpsenland
Q833239,Die faule Spinnerin
Q835505,Eselshaut
Q872422,Der Fuchs und die Gänse
Q907963,Hannu Mäkelä
Q1192250,Der Arme und der Reiche
Q1193744,Der Geburtstag der Infantin
Q1196998,Der Sperling und seine vier Kinder
Q1198300,Der arme Müllerbursch und das Kätzchen
Q1212806,Die Froschprinzessin
Q1609593,Hercules: Zero to Hero
Q2978153,Claude Seignolle
Q3204970,L'histoire de Boulik
Q3209019,Die feuerrote Blume
Q3395441,Polpon – Opération bonbon
Q3542440,Tut-Tut / Fafouin
Q3804499,Stanisław Jachowicz
Q4239947,Der gefärbte Fuchs
Q4323433,Die Neujahrsreise
Q7726529,Ashmadi
Q27075957,Aschenputtel
Q51029984,Le Petit Chaperon rouge
Q74287,Der Hobbit
Q92640,Alice im Wunderland
Q320039,Der Räuberbräutigam
Q320516,Der goldene Schlüssel
Q380000,Juri Karlowitsch Olescha
Q472865,Die Nelke
Q513544,Brüderchen und Schwesterchen
Q653612,Der Wolf und der Fuchs
Q833971,Das Dietmarsische Lügenmärchen
Q870005,Das Wasser des Lebens
Q992170,Bruder Lustig
Q996028,Prinzessin Fantaghirò
Q1167862,Das Feuerzeug
Q1196629,Der Schatten
Q1196758,Der Schuhu und die fliegende Prinzessin
Q1198962,Der junge Riese
Q1199235,Der kleine Klaus und der große Klaus
Q1218061,Die drei Brüder
Q1218633,Die himmlische Hochzeit
Q1455839,Hans und die Bohnenranke
Q1810316,Le chandail de hockey
Q1972808,Die Abenteuer des Burattino oder das goldene Schlüsselchen
Q2125630,Simeliberg
Q2658571,Das Märchen von Zar Salat
Q2843328,Amikwan – Koi koi ayaho
Q3235605,Die törichten Wünsche
Q3759322,Gelsomino im Lande der Lügner
Q4208788,Igel und Bär suchen einen Weihnachtsbaum
Q4329108,Der Affe von der Sprugasima-Insel
Q4468266,Furcht hat tausend Augen
Q7752121,Die Monate
Q13033687,Der Herr Gevatter
Q15055478,Paddington
Q15388909,Das Märchen von Iwan, dem Narren
Q19232544,Ut ôler Welt
Q20204480,Die sechs Diener
Q21148902,Die bestrafte Habgier
Q51315267,Der Hase und der Igel
Q11841,Aschenputtel
Q316237,Der singende Knochen
Q423298,Pascal Quignard
Q471398,Bauer Giles von Ham
Q862536,Die drei Dickwänste
Q875764,Die Rabe
Q878892,Die zertanzten Schuhe
Q1060636,Daniel Handler
Q1084428,Mauri Kunnas
Q1198913,Der heilige Joseph im Walde
Q1200476,Des Teufels rußiger Bruder
Q1219490,Die sieben unterirdischen Könige
Q1219867,Die weiße Taube
Q1395565,Konstantin Iwanow
Q2647260,Alissa w Strane tschudes
Q2944224,Cendrillon
Q4224362,Der Schlüssel zum Glück
Q4327884,Na warte! Hase und Wolf auf der Weihnachtsfeier
Q7754064,Die Nacht vor Weihnachten
Q51315191,Der Hase und der Igel
Q8258,Tausendundeine Nacht
Q11838,Rotkäppchen
Q45735,Wilbur und Charlotte
Q138848,Die kluge Bauerntochter
Q204810,Ion Creangă
Q260006,Marie-Catherine d’Aulnoy
Q321440,Rätselmärchen
Q322754,Dat Mäken von Brakel
Q404535,Winnie Pooh
Q467520,Der verwunschene Prinz
Q495442,Die Schöne und das Biest
Q744557,Nussknacker und Mausekönig
Q832584,Die drei Feldscherer
Q834811,Dat Erdmänneken
Q871641,Die alte Bettelfrau
Q878660,Der König vom goldenen Berg
Q1171372,Das junggeglühte Männlein
Q1193634,Der Fuchs und die Katze
Q1195775,Der Meisterdieb (Märchen)
Q1198119,Der Wolf und die sieben Geißlein
Q1198166,Der Zauberer der Smaragdenstadt
Q1198181,Der Zaunkönig und der Bär
Q1199706,Der undankbare Sohn
Q1214992,Die Märchenbraut
Q4366404,Von wahrer und falscher Freundschaft
Q4453108,Taigamärchen
Q15271109,Der Zauberbrunnen
Q16647440,Onkel Fjodor, der Hund und der Kater
Q19172297,Deutsche Volksmärchen aus Schwaben
Q28219078,Doris Trampnau
Q51029839,Rotkäppchen
